True SigmaEpsilon,True Gamma,Distortion,Agent SigmaEpsilon,Agent Gamma,Adaptive Loss,Rational Loss,Adaptive Adv,N ,,Gamma Ratio
0.1,0.1,1,0.049123342,0.067434788,1127.421297,4427.372892,3.926990649,500,,0.674347877
0.1,0.1,1,0.01257322,0.113326269,602.3741377,3274.180298,5.435459614,500,,1.133262689
0.1,0.1,1,0.322074471,0.099206892,885.8856878,4284.063369,4.835909902,500,,0.992068916
0.1,0.1,1,0.033986978,0.019881892,433.2891371,3827.793953,8.83427168,500,,0.198818919
0.1,0.1,1,0.658356099,0.048394736,415.0103091,4196.619338,10.11208456,500,,0.483947363
0.177827941,0.1,1,0.042868528,0.073552778,855.2266588,3627.158044,4.241165785,500,,0.735527782
0.177827941,0.1,1,0.196312596,0.017317078,215.9136716,3983.673909,18.45030877,500,,0.173170775
0.177827941,0.1,1,0.018279531,0.332122693,2489.805078,5191.65972,2.085167135,500,,3.321226935
0.177827941,0.1,1,0.018705154,0.308683512,1722.07895,3732.259664,2.167298812,500,,3.086835117
0.177827941,0.1,1,0.089229712,0.095520232,408.888145,3759.886337,9.195390923,500,,0.955202322
0.316227766,0.1,1,0.383012769,0.159408819,1433.374017,3603.024947,2.513666986,500,,1.594088185
0.316227766,0.1,1,2.126298629,0.484329004,5539.869196,5918.675046,1.068378122,500,,4.843290039
0.316227766,0.1,1,1.920831282,0.021725377,572.4009759,4287.114284,7.489704707,500,,0.217253773
0.316227766,0.1,1,2.870411993,0.20149839,3250.769846,4558.668429,1.40233503,500,,2.014983901
0.316227766,0.1,1,2.654739153,0.014161748,275.7378081,4449.1706,16.13551159,500,,0.141617476
0.562341325,0.1,1,2.034775982,0.010146211,326.4562533,4401.438437,13.4824755,500,,0.10146211
0.562341325,0.1,1,3.753469241,0.015879165,921.2954206,4691.721723,5.092526911,500,,0.158791647
0.562341325,0.1,1,0.865556442,0.336350361,3885.202457,5308.918924,1.366445888,500,,3.363503607
0.562341325,0.1,1,0.131692059,0.202828378,4115.912411,4563.250284,1.108684984,500,,2.028283779
0.562341325,0.1,1,5.543508678,0.013456856,1215.695648,5208.90753,4.284713481,500,,0.134568563
1,0.1,1,1.165773947,0.051583136,913.1620833,4127.873869,4.520417508,500,,0.515831365
1,0.1,1,1.249954033,0.020515336,408.5993545,4178.07659,10.22536268,500,,0.205153363
1,0.1,1,0.251899617,0.068880787,1675.943377,4401.713414,2.626409385,500,,0.688807874
1,0.1,1,6.904947751,0.083001105,1900.335123,5578.83152,2.935709313,500,,0.83001105
1,0.1,1,0.166163536,0.255064227,1056.895492,4113.379282,3.891945147,500,,2.55064227
1.77827941,0.1,1,0.300049236,0.384180829,2247.411953,4820.269629,2.144809109,500,,3.841808287
1.77827941,0.1,1,7.593556177,0.20945824,3107.66065,5874.171457,1.890222942,500,,2.094582405
1.77827941,0.1,1,0.331818111,0.021430868,421.8338428,3943.098476,9.347515718,500,,0.214308679
1.77827941,0.1,1,0.832526977,0.094380885,693.8637921,4278.489173,6.166180195,500,,0.943808849
1.77827941,0.1,1,1.86384341,0.138868469,1120.43041,4296.536195,3.83471937,500,,1.388684693
3.16227766,0.1,1,5.434943134,0.275973773,4867.496841,7204.743411,1.480174235,500,,2.759737727
3.16227766,0.1,1,0.419957767,0.838200872,3632.196876,4896.767214,1.34815578,500,,8.382008725
3.16227766,0.1,1,3.801397874,0.438428276,5126.195479,6434.714664,1.255261273,500,,4.384282759
3.16227766,0.1,1,2.005358448,0.156519738,1272.38541,4396.821975,3.455574028,500,,1.565197376
3.16227766,0.1,1,27.21141673,0.205283794,8323.674307,10766.72067,1.293505761,500,,2.052837944
5.623413252,0.1,1,3.284179948,0.356524434,1963.419366,4718.224966,2.403065309,500,,3.565244344
5.623413252,0.1,1,7.540535966,0.400055348,2992.618993,6238.738231,2.084708493,500,,4.000553483
5.623413252,0.1,1,2.215046933,0.049555394,1230.572871,4176.810514,3.39420006,500,,0.495553941
5.623413252,0.1,1,55.91319443,0.226469179,17322.34537,15883.68101,0.916947484,500,,2.264691795
5.623413252,0.1,1,0.87281628,0.368605871,3053.653706,4254.313287,1.393187865,500,,3.68605871
10,0.1,1,5.039196342,0.034892025,3646.680988,6565.248847,1.800335393,500,,0.348920248
10,0.1,1,2.830239563,0.1410068,4025.278299,8609.996438,2.138981655,500,,1.410068003
10,0.1,1,12.28045328,0.101732261,3403.055313,7902.736442,2.322247426,500,,1.017322609
10,0.1,1,88.72299301,0.182109965,7763.367942,18547.01316,2.389042139,500,,1.821099652
10,0.1,1,49.00219302,0.035838335,5916.161152,13017.70496,2.200363484,500,,0.358383355
0.1,0.177827941,1,0.077723197,1.646664037,5269.918917,5544.445643,1.052093159,500,,9.259872368
0.1,0.177827941,1,0.026859284,0.03163737,478.1145699,3879.526407,8.114219167,500,,0.177910005
0.1,0.177827941,1,0.26343872,0.634271405,4750.629069,5325.020618,1.120908524,500,,3.566770225
0.1,0.177827941,1,0.109348509,0.895273367,3661.915754,6282.035439,1.715505179,500,,5.034492115
0.1,0.177827941,1,0.010419073,0.076021281,690.5268343,3721.576916,5.389474718,500,,0.427499077
0.177827941,0.177827941,1,0.599880728,0.262624712,1539.636037,4160.567728,2.702306018,500,,1.476847287
0.177827941,0.177827941,1,0.073918509,0.277593882,1950.923799,4440.617458,2.276161407,500,,1.561025117
0.177827941,0.177827941,1,0.379159014,0.193834364,1955.481898,4956.971936,2.534910674,500,,1.09001073
0.177827941,0.177827941,1,0.120326679,0.218506374,1382.274226,8074.185612,5.841232847,500,,1.22875164
0.177827941,0.177827941,1,0.049479534,0.317381431,2612.906299,5244.287951,2.007070806,500,,1.784766942
0.316227766,0.177827941,1,1.751718206,0.19532553,2974.56846,5222.944762,1.755866383,500,,1.098396176
0.316227766,0.177827941,1,0.560016421,1.12616744,6465.568921,6784.049519,1.049257939,500,,6.332904908
0.316227766,0.177827941,1,0.521901913,0.066648477,558.3229912,4192.924982,7.509855493,500,,0.374791928
0.316227766,0.177827941,1,0.151576921,0.118079021,3820.813573,6344.105506,1.660406975,500,,0.664007131
0.316227766,0.177827941,1,0.040021024,0.071181838,585.9878675,3642.338249,6.215722971,500,,0.400284889
0.562341325,0.177827941,1,0.693635553,0.346543197,2093.708836,6315.022373,3.016189388,500,,1.948755608
0.562341325,0.177827941,1,3.45873775,0.035080462,892.6638366,4708.538582,5.274705201,500,,0.197271937
0.562341325,0.177827941,1,0.364086091,0.129530911,1207.65212,4360.294238,3.610554865,500,,0.728405843
0.562341325,0.177827941,1,0.183616262,0.036817373,621.4458118,3965.654188,6.381335449,500,,0.207039304
0.562341325,0.177827941,1,1.304314986,0.075257037,995.7423699,3759.340933,3.775415255,500,,0.423201416
1,0.177827941,1,3.201314,0.098660163,1268.919186,3989.660639,3.144140842,500,,0.554806868
1,0.177827941,1,0.876021497,0.30765002,2242.080302,7843.515565,3.498320537,500,,1.730043197
1,0.177827941,1,0.278115157,0.252926307,2139.144032,4368.207583,2.042035281,500,,1.422309148
1,0.177827941,1,1.200387166,0.091907609,1077.259591,3805.158602,3.532257809,500,,0.516834464
1,0.177827941,1,0.133052132,0.400902656,1770.442547,3998.985388,2.258749032,500,,2.254441311
1.77827941,0.177827941,1,12.00081502,0.026727226,1433.824386,6831.316343,4.764402396,500,,0.150298237
1.77827941,0.177827941,1,1.911220042,1.166599658,5967.06446,7629.087972,1.278532857,500,,6.560271977
1.77827941,0.177827941,1,2.559496164,0.029799763,556.3991414,4412.233335,7.929978692,500,,0.167576383
1.77827941,0.177827941,1,2.438697201,0.079756428,1549.523201,3912.283261,2.524830386,500,,0.448503353
1.77827941,0.177827941,1,0.255781825,0.618310002,3352.998895,4161.615139,1.241162097,500,,3.477012658
3.16227766,0.177827941,1,0.8238201,0.959010999,4539.577515,4893.634606,1.077993401,500,,5.392915158
3.16227766,0.177827941,1,7.176598765,0.369424528,3228.200762,5771.489678,1.787834805,500,,2.077426789
3.16227766,0.177827941,1,7.432629939,0.049254919,2009.305017,5289.670281,2.632587007,500,,0.276980763
3.16227766,0.177827941,1,0.475755964,0.024887889,323.4270431,3961.12907,12.24736507,500,,0.139954888
3.16227766,0.177827941,1,8.30013705,0.907214093,7727.782894,7797.150574,1.008976401,500,,5.101639753
5.623413252,0.177827941,1,5.213771383,1.40259762,6151.336347,6296.997685,1.023679625,500,,7.887386042
5.623413252,0.177827941,1,2.424675008,0.03662139,841.1686153,4210.04931,5.005000464,500,,0.205937211
5.623413252,0.177827941,1,4.196326597,0.021870934,915.0885576,4852.519263,5.302786514,500,,0.122989298
5.623413252,0.177827941,1,0.668130581,1.540323717,6860.223922,6545.436365,0.954114099,500,,8.661876804
5.623413252,0.177827941,1,11.98651362,0.098457946,3397.790754,8096.399108,2.382842174,500,,0.553669719
10,0.177827941,1,2.654896252,0.154109001,1807.771906,4821.559013,2.66712797,500,,0.866618596
10,0.177827941,1,4.9647731,0.189819915,2498.900428,11077.11595,4.432796053,500,,1.067435828
10,0.177827941,1,36.94324028,0.069026427,5103.069152,10895.38843,2.135065801,500,,0.388164123
10,0.177827941,1,33.90870068,0.056566939,2412.649019,11854.11573,4.913319609,500,,0.318099274
10,0.177827941,1,14.12383918,0.664830569,5870.491369,11346.21756,1.93275432,500,,3.738617032
0.1,0.316227766,1,0.161854945,0.297064358,1403.073751,4236.64815,3.019547724,500,,0.939399983
0.1,0.316227766,1,0.543569862,0.648608885,2720.129869,4013.039707,1.475311805,500,,2.051081388
0.1,0.316227766,1,0.096430985,0.057596568,773.8803984,4295.860563,5.551065219,500,,0.18213634
0.1,0.316227766,1,0.02026807,0.063073367,1575.690984,5707.095784,3.621963852,500,,0.1994555
0.1,0.316227766,1,0.045028925,0.183881342,1486.458701,4320.249846,2.906404223,500,,0.581483861
0.177827941,0.316227766,1,0.51025936,0.04243898,511.1163906,3852.347473,7.537123724,500,,0.134203838
0.177827941,0.316227766,1,0.087275689,0.096415016,468.3236407,4134.947035,8.829251131,500,,0.304891051
0.177827941,0.316227766,1,0.122567251,1.822587508,5665.700654,5846.422277,1.031897489,500,,5.763527762
0.177827941,0.316227766,1,0.036100283,0.082583551,418.7994025,4163.062452,9.940468938,500,,0.261152117
0.177827941,0.316227766,1,0.076472303,0.053892544,457.6712333,3723.331786,8.135385217,500,,0.170423187
0.316227766,0.316227766,1,0.060859212,0.611596024,2894.628656,4699.154908,1.623405095,500,,1.934036444
0.316227766,0.316227766,1,0.359210995,0.969653364,5264.876287,6029.891675,1.145305482,500,,3.066313172
0.316227766,0.316227766,1,0.09532899,1.757289335,7842.528664,7495.480135,0.955747879,500,,5.557036807
0.316227766,0.316227766,1,0.625491274,0.213594369,1166.706204,4237.313776,3.631860157,500,,0.675444703
0.316227766,0.316227766,1,0.43699966,2.574362968,13149.24317,11448.67356,0.870671674,500,,8.140850503
0.562341325,0.316227766,1,0.064675757,0.420094291,1492.75724,4416.436695,2.958576636,500,,1.328454792
0.562341325,0.316227766,1,0.135568816,0.168249652,1959.951297,6251.87958,3.189813741,500,,0.532052115
0.562341325,0.316227766,1,0.182175881,1.897360361,8958.017822,7771.539524,0.867551246,500,,5.999980284
0.562341325,0.316227766,1,4.52285678,0.040959544,1415.490848,5099.452404,3.602603585,500,,0.12952545
0.562341325,0.316227766,1,0.121244706,0.077389879,1175.255435,6749.448119,5.742962696,500,,0.244728284
1,0.316227766,1,0.106644045,0.470689867,2319.340517,4285.966456,1.847924626,500,,1.488452051
1,0.316227766,1,2.958637756,1.0833737,3745.799612,6844.162079,1.827156492,500,,3.425928449
1,0.316227766,1,0.485190093,0.110463913,1003.358182,3755.009105,3.742441305,500,,0.349317565
1,0.316227766,1,0.50589029,0.461714825,3156.775296,7458.759929,2.362778225,500,,1.460070476
1,0.316227766,1,0.165819627,0.224453737,2778.684969,6559.365605,2.360600672,500,,0.709785039
1.77827941,0.316227766,1,0.771210063,0.989780006,4505.240223,5685.823046,1.262046587,500,,3.129959201
1.77827941,0.316227766,1,11.73418853,0.042018802,2431.030487,7021.891925,2.888442561,500,,0.132875117
1.77827941,0.316227766,1,1.831994878,0.442562241,2834.089901,4982.959664,1.758222159,500,,1.399504689
1.77827941,0.316227766,1,2.01035272,0.042502714,870.3372832,4065.959229,4.671705221,500,,0.134405382
1.77827941,0.316227766,1,0.220061528,0.070016716,648.918516,4004.914087,6.171674853,500,,0.221412298
3.16227766,0.316227766,1,20.43420583,0.341008049,5266.837204,9571.915237,1.817393412,500,,1.078362136
3.16227766,0.316227766,1,1.451908811,2.009009791,9523.149723,7943.621446,0.83413804,500,,6.353046781
3.16227766,0.316227766,1,1.03070687,0.392916906,8409.562659,7982.961219,0.949271864,500,,1.242512355
3.16227766,0.316227766,1,1.824983657,0.137979462,1006.895885,3760.046005,3.734294738,500,,0.436329369
3.16227766,0.316227766,1,2.419847936,0.235620671,1666.119643,4314.526516,2.589565843,500,,0.745097984
5.623413252,0.316227766,1,1.034043078,0.177887516,1481.907683,5334.309854,3.59962359,500,,0.562529717
5.623413252,0.316227766,1,9.377713279,1.075238536,7479.723655,9382.022315,1.254327399,500,,3.4002028
5.623413252,0.316227766,1,4.838576245,0.605956115,4262.452692,5950.657261,1.396064119,500,,1.916201484
5.623413252,0.316227766,1,20.97219466,1.566064645,10360.66314,10844.25698,1.046675954,500,,4.952331242
5.623413252,0.316227766,1,8.194705411,0.166603879,1897.155944,5714.600128,3.012193143,500,,0.526847726
10,0.316227766,1,13.6193095,1.037371148,4878.883189,10144.63264,2.07929402,500,,3.280455605
10,0.316227766,1,12.94517673,0.093056367,2708.066219,7444.627061,2.749056507,500,,0.294270069
10,0.316227766,1,3.782514808,0.131158489,1575.667311,4681.445885,2.971087774,500,,0.41475956
10,0.316227766,1,86.41180794,0.408136423,10180.29686,14399.14172,1.414412753,500,,1.290640691
10,0.316227766,1,5.872022674,0.969884233,5883.249062,6744.53787,1.146396795,500,,3.067043244
0.1,0.562341325,1,0.329151254,0.277428195,2288.873831,6558.108005,2.865211666,500,,0.493344847
0.1,0.562341325,1,0.542689887,0.103120278,1455.600649,7065.604169,4.854081491,500,,0.183376668
0.1,0.562341325,1,0.311682195,3.488155132,11562.09534,11834.92241,1.02359668,500,,6.20291445
0.1,0.562341325,1,0.398229425,1.284190878,4077.611386,7131.36802,1.748908207,500,,2.283650198
0.1,0.562341325,1,0.624714937,3.781919302,7927.297258,8005.119697,1.00981702,500,,6.725309225
0.177827941,0.562341325,1,1.419421771,0.309087276,1134.263777,4047.950495,3.568791119,500,,0.549643539
0.177827941,0.562341325,1,0.552449978,0.057312173,1384.546533,5819.847632,4.203432309,500,,0.101917058
0.177827941,0.562341325,1,1.142837878,0.071195986,691.7440615,4252.485191,6.147483481,500,,0.126606356
0.177827941,0.562341325,1,0.256948851,0.137150603,1804.377303,5208.825294,2.886771677,500,,0.243892093
0.177827941,0.562341325,1,0.523314083,1.394269608,4904.102347,6675.554668,1.361218465,500,,2.479400936
0.316227766,0.562341325,1,0.088057259,0.10458787,920.8440515,4030.064654,4.37648986,500,,0.185986456
0.316227766,0.562341325,1,1.03367056,2.808098385,7984.751136,9056.324669,1.134202496,500,,4.993583539
0.316227766,0.562341325,1,0.124181419,2.080404036,4857.343354,7077.126435,1.4569953,500,,3.699539662
0.316227766,0.562341325,1,3.057230454,2.680347908,9351.575309,8216.246914,0.878594958,500,,4.766407497
0.316227766,0.562341325,1,0.065851343,0.616602019,2567.436275,4443.238225,1.730612856,500,,1.096490675
0.562341325,0.562341325,1,2.860766148,0.291723423,2236.693556,5542.718195,2.478085646,500,,0.518765756
0.562341325,0.562341325,1,0.769021817,1.707247172,5246.956614,7680.461574,1.463793612,500,,3.035962493
0.562341325,0.562341325,1,0.475048086,1.950981184,6726.610957,8265.214217,1.228733796,500,,3.469389668
0.562341325,0.562341325,1,3.579149915,2.625193917,9643.382163,8835.430541,0.916216986,500,,4.66832829
0.562341325,0.562341325,1,0.921861256,0.175103893,2315.63414,6595.393517,2.848201883,500,,0.311383648
1,0.562341325,1,0.960576613,0.105384042,1227.674152,4512.574253,3.675710077,500,,0.187402272
1,0.562341325,1,0.366975546,1.129445846,5426.390688,6630.670134,1.221930103,500,,2.008470294
1,0.562341325,1,0.149440731,0.157160637,438.3365521,3950.257074,9.011927147,500,,0.279475526
1,0.562341325,1,0.773669027,0.254810295,2784.468982,5360.715681,1.92522011,500,,0.453123901
1,0.562341325,1,0.172430868,1.275029935,3774.980069,6114.612233,1.619773382,500,,2.267359481
1.77827941,0.562341325,1,2.789562158,0.087117452,1205.712226,4470.592747,3.70784392,500,,0.154919171
1.77827941,0.562341325,1,6.19207696,1.576353621,5765.289626,8784.505379,1.523688479,500,,2.803197187
1.77827941,0.562341325,1,0.834402556,0.270693953,1708.036232,5048.812565,2.95591655,500,,0.481369484
1.77827941,0.562341325,1,0.943692462,3.680467505,10389.47453,11250.68452,1.082892545,500,,6.544899583
1.77827941,0.562341325,1,5.442307805,1.106456206,4877.465534,8802.557596,1.804740092,500,,1.967588289
3.16227766,0.562341325,1,5.082032181,0.143439853,1801.830051,5372.744837,2.981826635,500,,0.255076137
3.16227766,0.562341325,1,1.256708919,2.770573359,8850.125816,8379.724568,0.946848072,500,,4.926853558
3.16227766,0.562341325,1,0.375146411,2.889883049,10578.05893,11027.61455,1.042498877,500,,5.139019523
3.16227766,0.562341325,1,16.05045653,0.921691845,6422.35936,9335.713651,1.453626795,500,,1.639025631
3.16227766,0.562341325,1,11.03252415,0.589062817,4889.767675,7962.207014,1.628340556,500,,1.047518278
5.623413252,0.562341325,1,2.201207248,1.232224642,4394.925665,6498.920807,1.478732816,500,,2.191239709
5.623413252,0.562341325,1,0.8194192,4.310034906,14842.16839,13423.92275,0.904444849,500,,7.66444633
5.623413252,0.562341325,1,2.959708223,0.097437572,1477.558407,4430.538849,2.998554119,500,,0.173271229
5.623413252,0.562341325,1,2.594503051,0.546740381,5745.360928,7392.682636,1.286722058,500,,0.972257162
5.623413252,0.562341325,1,7.99519098,2.732686135,6421.547919,7996.28256,1.245226643,500,,4.859479488
10,0.562341325,1,1.215852851,0.058748551,1585.352108,4828.504256,3.045698323,500,,0.104471338
10,0.562341325,1,11.14487241,0.751186637,5416.150997,8614.860581,1.590587224,500,,1.335819729
10,0.562341325,1,44.49322871,1.353853876,16745.18779,12223.53203,0.729972825,500,,2.407530471
10,0.562341325,1,1.387076352,0.068858973,1007.167887,4187.760404,4.157956639,500,,0.122450494
10,0.562341325,1,20.67520759,5.492060006,15896.68286,15475.48762,0.973504206,500,,9.766417228
0.1,1,1,0.169693773,1.569798044,4245.405028,5283.918448,1.244620575,500,,1.569798044
0.1,1,1,0.104588346,0.292711402,1629.957684,4136.668102,2.537899077,500,,0.292711402
0.1,1,1,0.552868929,0.222694656,1313.354107,4356.906349,3.31738891,500,,0.222694656
0.1,1,1,0.037745276,0.189249154,1706.739176,6178.209929,3.619891086,500,,0.189249154
0.1,1,1,0.032486872,9.687588671,16804.87726,17366.78304,1.033437065,500,,9.687588671
0.177827941,1,1,0.403831094,3.781230292,9388.99987,10534.3317,1.121986564,500,,3.781230292
0.177827941,1,1,0.101185092,2.623126917,6044.524423,8794.346258,1.45492774,500,,2.623126917
0.177827941,1,1,0.019408571,0.342651738,1234.843858,4004.723716,3.243101297,500,,0.342651738
0.177827941,1,1,0.143110952,4.590397887,7650.274136,8454.816529,1.105165172,500,,4.590397887
0.177827941,1,1,0.024485104,3.34861047,8143.144663,10026.88911,1.231328869,500,,3.34861047
0.316227766,1,1,0.162043926,0.311433647,742.4397794,3970.855705,5.348387593,500,,0.311433647
0.316227766,1,1,0.096132457,0.727662292,3989.222593,6396.909474,1.60354789,500,,0.727662292
0.316227766,1,1,0.79721096,0.135503031,1760.226099,4417.648906,2.509705377,500,,0.135503031
0.316227766,1,1,0.083077012,0.32741728,1061.689053,5304.257914,4.996055953,500,,0.32741728
0.316227766,1,1,1.090068481,0.288153127,2434.550599,5846.921563,2.401643065,500,,0.288153127
0.562341325,1,1,3.03277438,0.129837273,2169.330263,4774.761737,2.201030345,500,,0.129837273
0.562341325,1,1,0.525191374,0.167779318,796.5518324,4009.56616,5.033653803,500,,0.167779318
0.562341325,1,1,1.908677307,0.843935388,3634.801908,5933.246538,1.632343849,500,,0.843935388
0.562341325,1,1,0.279065423,0.225402924,2218.062021,6076.915474,2.739741006,500,,0.225402924
0.562341325,1,1,2.475326576,1.278329995,5493.609379,8998.804408,1.638049557,500,,1.278329995
